Transaction_ID,Loan_ID,Customer_ID,EMI_Amount,Principal_Component,Interest_Component,Payment_Date,Payment_Status
TXN_LOAN0002_1,LOAN0002,CUST0145,85587.23,75977.46,9609.77,2023-02-14,Paid
TXN_LOAN0002_2,LOAN0002,CUST0145,85587.23,76735.29,8851.94,2023-03-14,Paid
TXN_LOAN0002_3,LOAN0002,CUST0145,85587.23,77500.67,8086.56,2023-04-14,Paid
TXN_LOAN0002_4,LOAN0002,CUST0145,85587.23,78273.69,7313.54,2023-05-14,Paid
TXN_LOAN0002_5,LOAN0002,CUST0145,85587.23,79054.42,6532.81,2023-06-14,Paid
TXN_LOAN0002_6,LOAN0002,CUST0145,85587.23,79842.94,5744.29,2023-07-14,Missed
TXN_LOAN0002_7,LOAN0002,CUST0145,85587.23,80639.32,4947.91,2023-08-14,Paid
TXN_LOAN0002_8,LOAN0002,CUST0145,85587.23,81443.65,4143.58,2023-09-14,Paid
TXN_LOAN0002_9,LOAN0002,CUST0145,85587.23,82256.0,3331.23,2023-10-14,Paid
TXN_LOAN0002_10,LOAN0002,CUST0145,85587.23,83076.45,2510.78,2023-11-14,Paid
TXN_LOAN0002_11,LOAN0002,CUST0145,85587.23,83905.08,1682.15,2023-12-14,Paid
TXN_LOAN0002_12,LOAN0002,CUST0145,85587.23,84742.03,845.2,2024-01-14,Paid
TXN_LOAN0003_1,LOAN0003,CUST0194,76999.06,70167.29,6831.77,2023-09-17,Paid
TXN_LOAN0003_2,LOAN0003,CUST0194,76999.06,70712.67,6286.39,2023-10-17,Paid
TXN_LOAN0003_3,LOAN0003,CUST0194,76999.06,71262.3,5736.76,2023-11-17,Missed
TXN_LOAN0003_4,LOAN0003,CUST0194,76999.06,71816.19,5182.87,2023-12-17,Paid
TXN_LOAN0003_5,LOAN0003,CUST0194,76999.06,72374.39,4624.67,2024-01-17,Paid
TXN_LOAN0003_6,LOAN0003,CUST0194,76999.06,72936.93,4062.13,2024-02-17,Paid
TXN_LOAN0003_7,LOAN0003,CUST0194,76999.06,73503.85,3495.21,2024-03-17,Paid
TXN_LOAN0003_8,LOAN0003,CUST0194,76999.06,74075.16,2923.9,2024-04-17,Paid
TXN_LOAN0003_9,LOAN0003,CUST0194,76999.06,74650.92,2348.14,2024-05-17,Paid
TXN_LOAN0003_10,LOAN0003,CUST0194,76999.06,75231.16,1767.9,2024-06-17,Paid
TXN_LOAN0003_11,LOAN0003,CUST0194,76999.06,75815.9,1183.16,2024-07-17,Paid
TXN_LOAN0003_12,LOAN0003,CUST0194,76999.06,76405.24,593.82,2024-08-17,Paid
TXN_LOAN0004_1,LOAN0004,CUST0053,12822.75,8527.35,4295.4,2023-04-27,Paid
TXN_LOAN0004_2,LOAN0004,CUST0053,12822.75,8624.53,4198.22,2023-05-27,Paid
TXN_LOAN0004_3,LOAN0004,CUST0053,12822.75,8722.82,4099.93,2023-06-27,Paid
TXN_LOAN0004_4,LOAN0004,CUST0053,12822.75,8822.22,4000.53,2023-07-27,Paid
TXN_LOAN0004_5,LOAN0004,CUST0053,12822.75,8922.76,3899.99,2023-08-27,Paid
TXN_LOAN0004_6,LOAN0004,CUST0053,12822.75,9024.45,3798.3,2023-09-27,Paid
TXN_LOAN0004_7,LOAN0004,CUST0053,12822.75,9127.29,3695.46,2023-10-27,Paid
TXN_LOAN0004_8,LOAN0004,CUST0053,12822.75,9231.31,3591.44,2023-11-27,Paid
TXN_LOAN0004_9,LOAN0004,CUST0053,12822.75,9336.51,3486.24,2023-12-27,Paid
TXN_LOAN0004_10,LOAN0004,CUST0053,12822.75,9442.91,3379.84,2024-01-27,Paid
TXN_LOAN0004_11,LOAN0004,CUST0053,12822.75,9550.52,3272.23,2024-02-27,Paid
TXN_LOAN0004_12,LOAN0004,CUST0053,12822.75,9659.36,3163.39,2024-03-27,Paid
TXN_LOAN0004_13,LOAN0004,CUST0053,12822.75,9769.44,3053.31,2024-04-27,Paid
TXN_LOAN0004_14,LOAN0004,CUST0053,12822.75,9880.78,2941.97,2024-05-27,Paid
TXN_LOAN0004_15,LOAN0004,CUST0053,12822.75,9993.38,2829.37,2024-06-27,Missed
TXN_LOAN0004_16,LOAN0004,CUST0053,12822.75,10107.27,2715.48,2024-07-27,Paid
TXN_LOAN0004_17,LOAN0004,CUST0053,12822.75,10222.45,2600.3,2024-08-27,Paid
TXN_LOAN0004_18,LOAN0004,CUST0053,12822.75,10338.95,2483.8,2024-09-27,Paid
TXN_LOAN0004_19,LOAN0004,CUST0053,12822.75,10456.77,2365.98,2024-10-27,Paid
TXN_LOAN0004_20,LOAN0004,CUST0053,12822.75,10575.94,2246.81,2024-11-27,Paid
TXN_LOAN0004_21,LOAN0004,CUST0053,12822.75,10696.46,2126.29,2024-12-27,Missed
TXN_LOAN0004_22,LOAN0004,CUST0053,12822.75,10818.36,2004.39,2025-01-27,Missed
TXN_LOAN0004_23,LOAN0004,CUST0053,12822.75,10941.65,1881.1,2025-02-27,Paid
TXN_LOAN0004_24,LOAN0004,CUST0053,12822.75,11066.34,1756.41,2025-03-27,Paid
TXN_LOAN0004_25,LOAN0004,CUST0053,12822.75,11192.46,1630.29,2025-04-27,Paid
TXN_LOAN0004_26,LOAN0004,CUST0053,12822.75,11320.01,1502.74,2025-05-27,Paid
TXN_LOAN0004_27,LOAN0004,CUST0053,12822.75,11449.01,1373.74,2025-06-27,Paid
TXN_LOAN0004_28,LOAN0004,CUST0053,12822.75,11579.49,1243.26,2025-07-27,Paid
TXN_LOAN0004_29,LOAN0004,CUST0053,12822.75,11711.45,1111.3,2025-08-27,Paid
TXN_LOAN0004_30,LOAN0004,CUST0053,12822.75,11844.92,977.83,2025-09-27,Missed
TXN_LOAN0004_31,LOAN0004,CUST0053,12822.75,11979.9,842.85,2025-10-27,Paid
TXN_LOAN0004_32,LOAN0004,CUST0053,12822.75,12116.43,706.32,2025-11-27,Paid
TXN_LOAN0004_33,LOAN0004,CUST0053,12822.75,12254.51,568.24,2025-12-27,Paid
TXN_LOAN0004_34,LOAN0004,CUST0053,12822.75,12394.16,428.59,2026-01-27,Paid
TXN_LOAN0004_35,LOAN0004,CUST0053,12822.75,12535.41,287.34,2026-02-27,Paid
TXN_LOAN0004_36,LOAN0004,CUST0053,12822.75,12678.43,144.32,2026-03-27,Paid
TXN_LOAN0005_1,LOAN0005,CUST0104,17375.35,11144.69,6230.66,2023-06-13,Paid
TXN_LOAN0005_2,LOAN0005,CUST0104,17375.35,11283.02,6092.33,2023-07-13,Paid
TXN_LOAN0005_3,LOAN0005,CUST0104,17375.35,11423.07,5952.28,2023-08-13,Paid
TXN_LOAN0005_4,LOAN0005,CUST0104,17375.35,11564.86,5810.49,2023-09-13,Paid
TXN_LOAN0005_5,LOAN0005,CUST0104,17375.35,11708.4,5666.95,2023-10-13,Paid
TXN_LOAN0005_6,LOAN0005,CUST0104,17375.35,11853.73,5521.62,2023-11-13,Paid
TXN_LOAN0005_7,LOAN0005,CUST0104,17375.35,12000.86,5374.49,2023-12-13,Paid
TXN_LOAN0005_8,LOAN0005,CUST0104,17375.35,12149.82,5225.53,2024-01-13,Paid
TXN_LOAN0005_9,LOAN0005,CUST0104,17375.35,12300.62,5074.73,2024-02-13,Paid
TXN_LOAN0005_10,LOAN0005,CUST0104,17375.35,12453.3,4922.05,2024-03-13,Paid
TXN_LOAN0005_11,LOAN0005,CUST0104,17375.35,12607.88,4767.47,2024-04-13,Paid
TXN_LOAN0005_12,LOAN0005,CUST0104,17375.35,12764.37,4610.98,2024-05-13,Paid
TXN_LOAN0005_13,LOAN0005,CUST0104,17375.35,12922.8,4452.55,2024-06-13,Paid
TXN_LOAN0005_14,LOAN0005,CUST0104,17375.35,13083.2,4292.15,2024-07-13,Paid
TXN_LOAN0005_15,LOAN0005,CUST0104,17375.35,13245.59,4129.76,2024-08-13,Missed
TXN_LOAN0005_16,LOAN0005,CUST0104,17375.35,13410.0,3965.35,2024-09-13,Paid
TXN_LOAN0005_17,LOAN0005,CUST0104,17375.35,13576.45,3798.9,2024-10-13,Paid
TXN_LOAN0005_18,LOAN0005,CUST0104,17375.35,13744.96,3630.39,2024-11-13,Paid
TXN_LOAN0005_19,LOAN0005,CUST0104,17375.35,13915.57,3459.78,2024-12-13,Paid
TXN_LOAN0005_20,LOAN0005,CUST0104,17375.35,14088.29,3287.06,2025-01-13,Paid
TXN_LOAN0005_21,LOAN0005,CUST0104,17375.35,14263.16,3112.19,2025-02-13,Paid
TXN_LOAN0005_22,LOAN0005,CUST0104,17375.35,14440.19,2935.16,2025-03-13,Paid
TXN_LOAN0005_23,LOAN0005,CUST0104,17375.35,14619.43,2755.92,2025-04-13,Paid
TXN_LOAN0005_24,LOAN0005,CUST0104,17375.35,14800.89,2574.46,2025-05-13,Paid
TXN_LOAN0005_25,LOAN0005,CUST0104,17375.35,14984.6,2390.75,2025-06-13,Paid
TXN_LOAN0005_26,LOAN0005,CUST0104,17375.35,15170.59,2204.76,2025-07-13,Paid
TXN_LOAN0005_27,LOAN0005,CUST0104,17375.35,15358.89,2016.46,2025-08-13,Paid
TXN_LOAN0005_28,LOAN0005,CUST0104,17375.35,15549.53,1825.82,2025-09-13,Missed
TXN_LOAN0005_29,LOAN0005,CUST0104,17375.35,15742.53,1632.82,2025-10-13,Paid
TXN_LOAN0005_30,LOAN0005,CUST0104,17375.35,15937.93,1437.42,2025-11-13,Paid
TXN_LOAN0005_31,LOAN0005,CUST0104,17375.35,16135.76,1239.59,2025-12-13,Paid
TXN_LOAN0005_32,LOAN0005,CUST0104,17375.35,16336.04,1039.31,2026-01-13,Paid
TXN_LOAN0005_33,LOAN0005,CUST0104,17375.35,16538.8,836.55,2026-02-13,Paid
TXN_LOAN0005_34,LOAN0005,CUST0104,17375.35,16744.09,631.26,2026-03-13,Paid
TXN_LOAN0005_35,LOAN0005,CUST0104,17375.35,16951.92,423.43,2026-04-13,Paid
TXN_LOAN0005_36,LOAN0005,CUST0104,17375.35,17162.17,213.18,2026-05-13,Paid
TXN_LOAN0006_1,LOAN0006,CUST0104,10267.36,5435.59,4831.77,2023-08-02,Paid
TXN_LOAN0006_2,LOAN0006,CUST0104,10267.36,5508.09,4759.27,2023-09-02,Paid
TXN_LOAN0006_3,LOAN0006,CUST0104,10267.36,5581.56,4685.8,2023-10-02,Paid
TXN_LOAN0006_4,LOAN0006,CUST0104,10267.36,5656.01,4611.35,2023-11-02,Paid
TXN_LOAN0006_5,LOAN0006,CUST0104,10267.36,5731.45,4535.91,2023-12-02,Paid
TXN_LOAN0006_6,LOAN0006,CUST0104,10267.36,5807.89,4459.47,2024-01-02,Paid
TXN_LOAN0006_7,LOAN0006,CUST0104,10267.36,5885.36,4382.0,2024-02-02,Paid
TXN_LOAN0006_8,LOAN0006,CUST0104,10267.36,5963.86,4303.5,2024-03-02,Paid
TXN_LOAN0006_9,LOAN0006,CUST0104,10267.36,6043.41,4223.95,2024-04-02,Paid
TXN_LOAN0006_10,LOAN0006,CUST0104,10267.36,6124.02,4143.34,2024-05-02,Paid
TXN_LOAN0006_11,LOAN0006,CUST0104,10267.36,6205.7,4061.66,2024-06-02,Paid
TXN_LOAN0006_12,LOAN0006,CUST0104,10267.36,6288.47,3978.89,2024-07-02,Paid
TXN_LOAN0006_13,LOAN0006,CUST0104,10267.36,6372.35,3895.01,2024-08-02,Paid
TXN_LOAN0006_14,LOAN0006,CUST0104,10267.36,6457.35,3810.01,2024-09-02,Paid
TXN_LOAN0006_15,LOAN0006,CUST0104,10267.36,6543.48,3723.88,2024-10-02,Paid
TXN_LOAN0006_16,LOAN0006,CUST0104,10267.36,6630.75,3636.61,2024-11-02,Paid
TXN_LOAN0006_17,LOAN0006,CUST0104,10267.36,6719.2,3548.16,2024-12-02,Paid
TXN_LOAN0006_18,LOAN0006,CUST0104,10267.36,6808.82,3458.54,2025-01-02,Paid
TXN_LOAN0006_19,LOAN0006,CUST0104,10267.36,6899.64,3367.72,2025-02-02,Paid
TXN_LOAN0006_20,LOAN0006,CUST0104,10267.36,6991.67,3275.69,2025-03-02,Paid
TXN_LOAN0006_21,LOAN0006,CUST0104,10267.36,7084.92,3182.44,2025-04-02,Paid
TXN_LOAN0006_22,LOAN0006,CUST0104,10267.36,7179.42,3087.94,2025-05-02,Paid
TXN_LOAN0006_23,LOAN0006,CUST0104,10267.36,7275.18,2992.18,2025-06-02,Paid
TXN_LOAN0006_24,LOAN0006,CUST0104,10267.36,7372.22,2895.14,2025-07-02,Paid
TXN_LOAN0006_25,LOAN0006,CUST0104,10267.36,7470.55,2796.81,2025-08-02,Paid
TXN_LOAN0006_26,LOAN0006,CUST0104,10267.36,7570.2,2697.16,2025-09-02,Paid
TXN_LOAN0006_27,LOAN0006,CUST0104,10267.36,7671.17,2596.19,2025-10-02,Paid
TXN_LOAN0006_28,LOAN0006,CUST0104,10267.36,7773.49,2493.87,2025-11-02,Paid
TXN_LOAN0006_29,LOAN0006,CUST0104,10267.36,7877.17,2390.19,2025-12-02,Paid
TXN_LOAN0006_30,LOAN0006,CUST0104,10267.36,7982.24,2285.12,2026-01-02,Paid
TXN_LOAN0006_31,LOAN0006,CUST0104,10267.36,8088.71,2178.65,2026-02-02,Paid
TXN_LOAN0006_32,LOAN0006,CUST0104,10267.36,8196.6,2070.76,2026-03-02,Paid
TXN_LOAN0006_33,LOAN0006,CUST0104,10267.36,8305.93,1961.43,2026-04-02,Missed
TXN_LOAN0006_34,LOAN0006,CUST0104,10267.36,8416.71,1850.65,2026-05-02,Paid
TXN_LOAN0006_35,LOAN0006,CUST0104,10267.36,8528.98,1738.38,2026-06-02,Paid
TXN_LOAN0006_36,LOAN0006,CUST0104,10267.36,8642.74,1624.62,2026-07-02,Paid
TXN_LOAN0006_37,LOAN0006,CUST0104,10267.36,8758.02,1509.34,2026-08-02,Paid
TXN_LOAN0006_38,LOAN0006,CUST0104,10267.36,8874.84,1392.52,2026-09-02,Missed
TXN_LOAN0006_39,LOAN0006,CUST0104,10267.36,8993.21,1274.15,2026-10-02,Paid
TXN_LOAN0006_40,LOAN0006,CUST0104,10267.36,9113.16,1154.2,2026-11-02,Paid
TXN_LOAN0006_41,LOAN0006,CUST0104,10267.36,9234.72,1032.64,2026-12-02,Paid
TXN_LOAN0006_42,LOAN0006,CUST0104,10267.36,9357.89,909.47,2027-01-02,Paid
TXN_LOAN0006_43,LOAN0006,CUST0104,10267.36,9482.71,784.65,2027-02-02,Missed
TXN_LOAN0006_44,LOAN0006,CUST0104,10267.36,9609.19,658.17,2027-03-02,Missed
TXN_LOAN0006_45,LOAN0006,CUST0104,10267.36,9737.36,530.0,2027-04-02,Paid
TXN_LOAN0006_46,LOAN0006,CUST0104,10267.36,9867.24,400.12,2027-05-02,Paid
TXN_LOAN0006_47,LOAN0006,CUST0104,10267.36,9998.85,268.51,2027-06-02,Paid
TXN_LOAN0006_48,LOAN0006,CUST0104,10267.36,10131.91,135.45,2027-07-02,Paid
TXN_LOAN0007_1,LOAN0007,CUST0179,16623.34,11160.78,5462.56,2023-04-03,Paid
TXN_LOAN0007_2,LOAN0007,CUST0179,16623.34,11253.8,5369.54,2023-05-03,Paid
TXN_LOAN0007_3,LOAN0007,CUST0179,16623.34,11347.59,5275.75,2023-06-03,Paid
TXN_LOAN0007_4,LOAN0007,CUST0179,16623.34,11442.17,5181.17,2023-07-03,Paid
TXN_LOAN0007_5,LOAN0007,CUST0179,16623.34,11537.54,5085.8,2023-08-03,Missed
TXN_LOAN0007_6,LOAN0007,CUST0179,16623.34,11633.7,4989.64,2023-09-03,Paid
TXN_LOAN0007_7,LOAN0007,CUST0179,16623.34,11730.66,4892.68,2023-10-03,Paid
TXN_LOAN0007_8,LOAN0007,CUST0179,16623.34,11828.43,4794.91,2023-11-03,Missed
TXN_LOAN0007_9,LOAN0007,CUST0179,16623.34,11927.02,4696.32,2023-12-03,Paid
TXN_LOAN0007_10,LOAN0007,CUST0179,16623.34,12026.42,4596.92,2024-01-03,Paid
TXN_LOAN0007_11,LOAN0007,CUST0179,16623.34,12126.66,4496.68,2024-02-03,Missed
TXN_LOAN0007_12,LOAN0007,CUST0179,16623.34,12227.73,4395.61,2024-03-03,Missed
TXN_LOAN0007_13,LOAN0007,CUST0179,16623.34,12329.64,4293.7,2024-04-03,Paid
TXN_LOAN0007_14,LOAN0007,CUST0179,16623.34,12432.4,4190.94,2024-05-03,Paid
TXN_LOAN0007_15,LOAN0007,CUST0179,16623.34,12536.02,4087.32,2024-06-03,Paid
TXN_LOAN0007_16,LOAN0007,CUST0179,16623.34,12640.5,3982.84,2024-07-03,Paid
TXN_LOAN0007_17,LOAN0007,CUST0179,16623.34,12745.86,3877.48,2024-08-03,Paid
TXN_LOAN0007_18,LOAN0007,CUST0179,16623.34,12852.09,3771.25,2024-09-03,Paid
TXN_LOAN0007_19,LOAN0007,CUST0179,16623.34,12959.21,3664.13,2024-10-03,Paid
TXN_LOAN0007_20,LOAN0007,CUST0179,16623.34,13067.22,3556.12,2024-11-03,Paid
TXN_LOAN0007_21,LOAN0007,CUST0179,16623.34,13176.13,3447.21,2024-12-03,Paid
TXN_LOAN0007_22,LOAN0007,CUST0179,16623.34,13285.94,3337.4,2025-01-03,Paid
TXN_LOAN0007_23,LOAN0007,CUST0179,16623.34,13396.68,3226.66,2025-02-03,Paid
TXN_LOAN0007_24,LOAN0007,CUST0179,16623.34,13508.33,3115.01,2025-03-03,Missed
TXN_LOAN0007_25,LOAN0007,CUST0179,16623.34,13620.92,3002.42,2025-04-03,Paid
TXN_LOAN0007_26,LOAN0007,CUST0179,16623.34,13734.44,2888.9,2025-05-03,Paid
TXN_LOAN0007_27,LOAN0007,CUST0179,16623.34,13848.91,2774.43,2025-06-03,Paid
TXN_LOAN0007_28,LOAN0007,CUST0179,16623.34,13964.34,2659.0,2025-07-03,Paid
TXN_LOAN0007_29,LOAN0007,CUST0179,16623.34,14080.73,2542.61,2025-08-03,Paid
TXN_LOAN0007_30,LOAN0007,CUST0179,16623.34,14198.08,2425.26,2025-09-03,Paid
TXN_LOAN0007_31,LOAN0007,CUST0179,16623.34,14316.42,2306.92,2025-10-03,Paid
TXN_LOAN0007_32,LOAN0007,CUST0179,16623.34,14435.74,2187.6,2025-11-03,Paid
TXN_LOAN0007_33,LOAN0007,CUST0179,16623.34,14556.06,2067.28,2025-12-03,Paid
TXN_LOAN0007_34,LOAN0007,CUST0179,16623.34,14677.37,1945.97,2026-01-03,Paid
TXN_LOAN0007_35,LOAN0007,CUST0179,16623.34,14799.7,1823.64,2026-02-03,Paid
TXN_LOAN0007_36,LOAN0007,CUST0179,16623.34,14923.05,1700.29,2026-03-03,Paid
TXN_LOAN0007_37,LOAN0007,CUST0179,16623.34,15047.43,1575.91,2026-04-03,Paid
TXN_LOAN0007_38,LOAN0007,CUST0179,16623.34,15172.84,1450.5,2026-05-03,Paid
TXN_LOAN0007_39,LOAN0007,CUST0179,16623.34,15299.3,1324.04,2026-06-03,Paid
TXN_LOAN0007_40,LOAN0007,CUST0179,16623.34,15426.82,1196.52,2026-07-03,Paid
TXN_LOAN0007_41,LOAN0007,CUST0179,16623.34,15555.39,1067.95,2026-08-03,Paid
TXN_LOAN0007_42,LOAN0007,CUST0179,16623.34,15685.04,938.3,2026-09-03,Missed
TXN_LOAN0007_43,LOAN0007,CUST0179,16623.34,15815.77,807.57,2026-10-03,Paid
TXN_LOAN0007_44,LOAN0007,CUST0179,16623.34,15947.59,675.75,2026-11-03,Paid
TXN_LOAN0007_45,LOAN0007,CUST0179,16623.34,16080.5,542.84,2026-12-03,Paid
TXN_LOAN0007_46,LOAN0007,CUST0179,16623.34,16214.53,408.81,2027-01-03,Paid
TXN_LOAN0007_47,LOAN0007,CUST0179,16623.34,16349.67,273.67,2027-02-03,Paid
TXN_LOAN0007_48,LOAN0007,CUST0179,16623.34,16485.84,137.5,2027-03-03,Paid
TXN_LOAN0008_1,LOAN0008,CUST0039,3475.34,2866.16,609.18,2023-09-07,Paid
TXN_LOAN0008_2,LOAN0008,CUST0039,3475.34,2889.26,586.08,2023-10-07,Paid
TXN_LOAN0008_3,LOAN0008,CUST0039,3475.34,2912.56,562.78,2023-11-07,Paid
TXN_LOAN0008_4,LOAN0008,CUST0039,3475.34,2936.04,539.3,2023-12-07,Paid
TXN_LOAN0008_5,LOAN0008,CUST0039,3475.34,2959.71,515.63,2024-01-07,Missed
TXN_LOAN0008_6,LOAN0008,CUST0039,3475.34,2983.57,491.77,2024-02-07,Paid
TXN_LOAN0008_7,LOAN0008,CUST0039,3475.34,3007.63,467.71,2024-03-07,Paid
TXN_LOAN0008_8,LOAN0008,CUST0039,3475.34,3031.88,443.46,2024-04-07,Paid
TXN_LOAN0008_9,LOAN0008,CUST0039,3475.34,3056.32,419.02,2024-05-07,Paid
TXN_LOAN0008_10,LOAN0008,CUST0039,3475.34,3080.96,394.38,2024-06-07,Paid
TXN_LOAN0008_11,LOAN0008,CUST0039,3475.34,3105.8,369.54,2024-07-07,Paid
TXN_LOAN0008_12,LOAN0008,CUST0039,3475.34,3130.84,344.5,2024-08-07,Paid
TXN_LOAN0008_13,LOAN0008,CUST0039,3475.34,3156.08,319.26,2024-09-07,Paid
TXN_LOAN0008_14,LOAN0008,CUST0039,3475.34,3181.53,293.81,2024-10-07,Paid
TXN_LOAN0008_15,LOAN0008,CUST0039,3475.34,3207.18,268.16,2024-11-07,Paid
TXN_LOAN0008_16,LOAN0008,CUST0039,3475.34,3233.04,242.3,2024-12-07,Paid
TXN_LOAN0008_17,LOAN0008,CUST0039,3475.34,3259.1,216.24,2025-01-07,Paid
TXN_LOAN0008_18,LOAN0008,CUST0039,3475.34,3285.38,189.96,2025-02-07,Paid
TXN_LOAN0008_19,LOAN0008,CUST0039,3475.34,3311.87,163.47,2025-03-07,Paid
TXN_LOAN0008_20,LOAN0008,CUST0039,3475.34,3338.57,136.77,2025-04-07,Paid
TXN_LOAN0008_21,LOAN0008,CUST0039,3475.34,3365.49,109.85,2025-05-07,Paid
TXN_LOAN0008_22,LOAN0008,CUST0039,3475.34,3392.62,82.72,2025-06-07,Paid
TXN_LOAN0008_23,LOAN0008,CUST0039,3475.34,3419.97,55.37,2025-07-07,Paid
TXN_LOAN0008_24,LOAN0008,CUST0039,3475.34,3447.44,27.9,2025-08-07,Paid
TXN_LOAN0009_1,LOAN0009,CUST0179,29976.24,22875.18,7101.06,2023-10-03,Missed
TXN_LOAN0009_2,LOAN0009,CUST0179,29976.24,23047.61,6928.63,2023-11-03,Paid
TXN_LOAN0009_3,LOAN0009,CUST0179,29976.24,23221.35,6754.89,2023-12-03,Paid
TXN_LOAN0009_4,LOAN0009,CUST0179,29976.24,23396.39,6579.85,2024-01-03,Missed
TXN_LOAN0009_5,LOAN0009,CUST0179,29976.24,23572.76,6403.48,2024-02-03,Paid
TXN_LOAN0009_6,LOAN0009,CUST0179,29976.24,23750.45,6225.79,2024-03-03,Paid
TXN_LOAN0009_7,LOAN0009,CUST0179,29976.24,23929.48,6046.76,2024-04-03,Paid
TXN_LOAN0009_8,LOAN0009,CUST0179,29976.24,24109.86,5866.38,2024-05-03,Missed
TXN_LOAN0009_9,LOAN0009,CUST0179,29976.24,24291.6,5684.64,2024-06-03,Paid
TXN_LOAN0009_10,LOAN0009,CUST0179,29976.24,24474.72,5501.52,2024-07-03,Paid
TXN_LOAN0009_11,LOAN0009,CUST0179,29976.24,24659.21,5317.03,2024-08-03,Paid
TXN_LOAN0009_12,LOAN0009,CUST0179,29976.24,24845.09,5131.15,2024-09-03,Paid
TXN_LOAN0009_13,LOAN0009,CUST0179,29976.24,25032.37,4943.87,2024-10-03,Paid
TXN_LOAN0009_14,LOAN0009,CUST0179,29976.24,25221.07,4755.17,2024-11-03,Paid
TXN_LOAN0009_15,LOAN0009,CUST0179,29976.24,25411.19,4565.05,2024-12-03,Paid
TXN_LOAN0009_16,LOAN0009,CUST0179,29976.24,25602.74,4373.5,2025-01-03,Paid
