Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Start_Date
LOAN0026,CUST0185,Personal Loan,452732,0.12523182845183,12,2023-07-10
LOAN0027,CUST0097,Personal Loan,556079,0.1443577695196525,36,2023-11-04
LOAN0028,CUST0155,Education Loan,951437,0.13264026609361132,24,2023-09-13
LOAN0029,CUST0183,Business Loan,576684,0.1531589521755332,12,2023-07-02
LOAN0030,CUST0033,Personal Loan,134082,0.08816299820305895,36,2023-04-27
LOAN0031,CUST0196,Personal Loan,986633,0.08603520839905639,48,2023-10-09
LOAN0032,CUST0086,Business Loan,178322,0.10471032340101465,12,2023-07-15
LOAN0033,CUST0066,Personal Loan,706951,0.09595446801131884,12,2023-02-03
LOAN0034,CUST0010,Business Loan,61303,0.16717835665922015,48,2023-02-21
LOAN0035,CUST0005,Business Loan,211633,0.10192139873580443,24,2023-04-22
LOAN0036,CUST0123,Business Loan,383863,0.17758652558191312,48,2023-09-09
LOAN0037,CUST0074,Business Loan,299690,0.11368957917711069,12,2023-03-23
LOAN0038,CUST0097,Business Loan,834108,0.09821179156886993,48,2023-08-20
LOAN0039,CUST0118,Education Loan,149616,0.1589698507142479,36,2023-08-15
LOAN0040,CUST0038,Personal Loan,960597,0.1458707775500876,48,2023-08-21
LOAN0041,CUST0141,Education Loan,136231,0.12981957164531388,12,2023-08-09
LOAN0042,CUST0159,Personal Loan,319458,0.1355363550937631,48,2023-02-11
LOAN0043,CUST0047,Education Loan,69623,0.1519201778272264,24,2023-01-21
LOAN0044,CUST0109,Business Loan,773035,0.10284547413312987,48,2023-02-11
LOAN0045,CUST0180,Personal Loan,540042,0.17963339160567418,24,2023-04-23
LOAN0046,CUST0184,Personal Loan,508298,0.1774793162146783,36,2023-04-15
LOAN0047,CUST0015,Education Loan,526840,0.1450325686346937,24,2023-07-11
LOAN0048,CUST0157,Education Loan,155228,0.0999542450929145,48,2023-01-17
LOAN0049,CUST0136,Personal Loan,476346,0.14802282424312913,12,2023-04-30
LOAN0050,CUST0005,Education Loan,757116,0.08721984089791758,24,2023-05-09
LOAN0051,CUST0157,Education Loan,934056,0.0830652502205806,36,2023-05-10
LOAN0052,CUST0047,Education Loan,731652,0.10576828885112137,24,2023-03-01
LOAN0053,CUST0068,Business Loan,948217,0.12626229567393163,24,2023-02-17
LOAN0054,CUST0076,Business Loan,570547,0.16682725054083805,24,2023-01-29
LOAN0055,CUST0173,Education Loan,922638,0.15271690697663082,36,2023-04-07
LOAN0056,CUST0130,Education Loan,119274,0.1542706521199981,48,2023-01-10
LOAN0057,CUST0155,Business Loan,183541,0.12254933344480753,24,2023-08-30
LOAN0058,CUST0095,Business Loan,103947,0.1145934992546963,24,2023-11-10
LOAN0059,CUST0115,Personal Loan,727894,0.11710387629846027,12,2023-08-20
LOAN0060,CUST0164,Personal Loan,244692,0.1787649563736058,36,2023-10-04
LOAN0061,CUST0036,Business Loan,98874,0.08401091914124825,24,2023-10-11
LOAN0062,CUST0026,Education Loan,623996,0.16670314961224486,36,2023-07-22
LOAN0063,CUST0043,Education Loan,124553,0.13786754085723935,24,2023-09-04
LOAN0064,CUST0027,Education Loan,642632,0.12386154191895904,48,2023-10-17
LOAN0065,CUST0069,Education Loan,885570,0.15252576604151363,48,2023-09-21
LOAN0066,CUST0148,Personal Loan,759662,0.1286668941424703,24,2023-08-02
LOAN0067,CUST0011,Business Loan,621926,0.16734232380816605,48,2023-07-19
LOAN0068,CUST0074,Education Loan,128249,0.17007018640112584,24,2023-03-20
LOAN0069,CUST0104,Personal Loan,942297,0.12217209268734554,48,2023-12-09
LOAN0070,CUST0038,Education Loan,577007,0.10768277972350515,12,2023-12-10
LOAN0071,CUST0134,Business Loan,728250,0.13923503285933622,12,2023-06-22
LOAN0072,CUST0200,Personal Loan,520452,0.1712363345616691,12,2023-03-10
LOAN0073,CUST0023,Business Loan,479725,0.10106621890056666,36,2023-03-28
LOAN0074,CUST0047,Business Loan,92534,0.14229665835634828,36,2023-04-11
LOAN0075,CUST0090,Personal Loan,545518,0.14315602200925204,12,2023-01-08
LOAN0076,CUST0046,Personal Loan,666529,0.1533113022415281,36,2023-11-29
LOAN0077,CUST0107,Personal Loan,462003,0.09315676851272597,48,2023-07-19
LOAN0078,CUST0140,Personal Loan,176209,0.15158249646820887,24,2023-03-28
LOAN0079,CUST0141,Personal Loan,492061,0.1709032520665641,24,2023-02-12
LOAN0080,CUST0104,Personal Loan,239004,0.0979683108870242,24,2023-04-19
LOAN0081,CUST0190,Personal Loan,666412,0.10375433249238776,12,2023-06-01
LOAN0082,CUST0111,Education Loan,665947,0.17713950940416395,36,2023-01-17
LOAN0083,CUST0104,Business Loan,214134,0.09809769527094897,48,2023-05-13
LOAN0084,CUST0060,Personal Loan,125713,0.16543850933695792,48,2023-05-28
LOAN0085,CUST0171,Education Loan,792623,0.12922778564480347,12,2023-10-04
LOAN0086,CUST0100,Education Loan,538972,0.10472310744031771,48,2023-08-20
LOAN0087,CUST0068,Education Loan,125418,0.16707499012725113,48,2023-11-10
LOAN0088,CUST0133,Business Loan,178232,0.12453052550026655,48,2023-08-16
LOAN0089,CUST0120,Personal Loan,570551,0.131481735392969,48,2023-05-19
LOAN0090,CUST0037,Education Loan,213038,0.11592333693997657,36,2023-07-30
LOAN0091,CUST0072,Business Loan,980491,0.13929508514349273,48,2023-01-28
LOAN0092,CUST0127,Business Loan,218383,0.09635238725850227,24,2023-02-20
LOAN0093,CUST0106,Business Loan,868007,0.11910815366517608,12,2023-09-18
LOAN0094,CUST0092,Education Loan,375996,0.17694123223352876,36,2023-09-18
LOAN0095,CUST0031,Personal Loan,308722,0.10581334327011276,48,2023-12-16
LOAN0096,CUST0122,Education Loan,182079,0.1456736664541292,36,2023-12-18
LOAN0097,CUST0137,Education Loan,252053,0.11251900642246948,48,2023-01-08
LOAN0098,CUST0051,Personal Loan,650530,0.15734731256866008,24,2023-11-16
LOAN0099,CUST0029,Personal Loan,228589,0.09308736607183499,12,2023-05-18
LOAN0100,CUST0040,Personal Loan,553238,0.17698210450785445,48,2023-02-07
LOAN0101,CUST0041,Business Loan,79257,0.12537895413836392,48,2023-04-21
LOAN0102,CUST0011,Personal Loan,530488,0.1036050463346464,48,2023-08-08
LOAN0103,CUST0151,Education Loan,485423,0.08734967473300127,48,2023-12-03
LOAN0104,CUST0001,Personal Loan,194353,0.09697579050875407,12,2023-08-11
LOAN0105,CUST0046,Education Loan,373390,0.13197739485560175,12,2023-05-16
LOAN0106,CUST0101,Business Loan,313579,0.11370031764312863,24,2023-09-13
LOAN0107,CUST0149,Education Loan,279947,0.16288833658826096,12,2023-12-26
LOAN0108,CUST0090,Education Loan,281758,0.12308875236618058,48,2023-11-25
LOAN0109,CUST0110,Personal Loan,665645,0.10487142725876299,24,2023-02-18
LOAN0110,CUST0164,Personal Loan,207732,0.141714498660403,24,2023-10-19
LOAN0111,CUST0182,Education Loan,972588,0.1506777216885446,24,2023-11-20
LOAN0112,CUST0057,Personal Loan,981011,0.09670419079009498,48,2023-03-19
LOAN0113,CUST0001,Business Loan,777955,0.09676192162883177,36,2023-04-15
LOAN0114,CUST0063,Business Loan,658095,0.0836671426933543,48,2023-06-18
LOAN0115,CUST0182,Personal Loan,488755,0.15364020150656404,12,2023-08-05
LOAN0116,CUST0055,Business Loan,952385,0.1463804527621805,12,2023-04-29
LOAN0117,CUST0115,Personal Loan,188563,0.12746308757498137,48,2023-07-09
LOAN0118,CUST0168,Education Loan,833066,0.16441704489691972,48,2023-09-12
LOAN0119,CUST0143,Education Loan,556047,0.16056701529500533,24,2023-09-23
LOAN0120,CUST0149,Business Loan,755552,0.1385354364396752,48,2023-05-29
LOAN0121,CUST0175,Personal Loan,960229,0.16682712805132585,24,2023-06-13
LOAN0122,CUST0053,Personal Loan,376032,0.10058412100367682,12,2023-05-20
LOAN0123,CUST0137,Business Loan,647897,0.09119196193977279,24,2023-12-13
LOAN0124,CUST0180,Education Loan,845509,0.10697496115169897,48,2023-09-15
LOAN0125,CUST0057,Business Loan,822800,0.08570868560893148,12,2023-09-26
LOAN0126,CUST0117,Education Loan,303973,0.1331169528001032,36,2023-06-30
LOAN0127,CUST0154,Personal Loan,333097,0.17366056922949613,24,2023-06-09
LOAN0128,CUST0169,Education Loan,426826,0.08393435406685097,12,2023-12-17
LOAN0129,CUST0035,Business Loan,564257,0.09221099140100268,24,2023-10-15
LOAN0130,CUST0063,Personal Loan,904321,0.12521990282834353,12,2023-10-15
LOAN0131,CUST0025,Business Loan,729181,0.1733875017527905,12,2023-08-14
LOAN0132,CUST0090,Business Loan,480783,0.11161561049767504,24,2023-01-11
LOAN0133,CUST0075,Education Loan,165374,0.13072348086883923,36,2023-01-10
LOAN0134,CUST0038,Business Loan,599148,0.08415728590503921,12,2023-09-28
LOAN0135,CUST0130,Education Loan,726555,0.09483432009620889,12,2023-09-30
LOAN0136,CUST0135,Personal Loan,651763,0.1786630122958847,12,2023-07-02
LOAN0137,CUST0162,Education Loan,534090,0.17651186964360455,36,2023-06-02
LOAN0138,CUST0091,Personal Loan,923698,0.08049399809344096,36,2023-11-11
LOAN0139,CUST0017,Education Loan,726787,0.1751811785423239,48,2023-11-30
LOAN0140,CUST0128,Business Loan,937164,0.14391199378155003,24,2023-05-04
LOAN0141,CUST0171,Education Loan,339227,0.16679182945200222,36,2023-04-24
LOAN0142,CUST0187,Education Loan,792406,0.1254739855633859,24,2023-10-05
LOAN0143,CUST0108,Personal Loan,893804,0.131559602857925,48,2023-08-01
LOAN0144,CUST0179,Business Loan,698074,0.12888465802569202,24,2023-06-21
LOAN0145,CUST0182,Education Loan,582101,0.14668642575461044,36,2023-10-15
LOAN0146,CUST0152,Business Loan,81598,0.0939651254756313,24,2023-06-23
LOAN0147,CUST0025,Education Loan,555934,0.0829973589872678,36,2023-04-23
LOAN0148,CUST0199,Education Loan,832239,0.11079299415911908,24,2023-05-02
LOAN0149,CUST0180,Business Loan,667394,0.15046807627366465,36,2023-02-01
LOAN0150,CUST0198,Education Loan,339226,0.10018534521229483,36,2023-08-10
LOAN0151,CUST0088,Business Loan,865673,0.1473432433324917,24,2023-04-29
LOAN0152,CUST0161,Education Loan,277286,0.17699120461072704,48,2023-02-08
LOAN0153,CUST0177,Personal Loan,487785,0.08939007157894184,12,2023-09-25
LOAN0154,CUST0029,Business Loan,61745,0.14726021182251264,48,2023-08-21
LOAN0155,CUST0063,Education Loan,862461,0.1243750219304571,24,2023-01-18
LOAN0156,CUST0150,Education Loan,194097,0.16681422543775054,48,2023-05-29
LOAN0157,CUST0154,Personal Loan,282732,0.09771497894473859,36,2023-05-29
LOAN0158,CUST0156,Business Loan,959827,0.14926259522261645,12,2023-05-06
LOAN0159,CUST0114,Education Loan,719648,0.16381152896481102,24,2023-10-29
LOAN0160,CUST0049,Personal Loan,663474,0.17446142194740233,24,2023-12-26
LOAN0161,CUST0199,Education Loan,974044,0.1483248028289646,24,2023-08-26
LOAN0162,CUST0081,Business Loan,934200,0.12971747640084272,12,2023-05-15
LOAN0163,CUST0084,Education Loan,263030,0.14178472402012138,36,2023-05-31
LOAN0164,CUST0105,Education Loan,774238,0.16689049844787182,24,2023-08-24
LOAN0165,CUST0177,Education Loan,616134,0.13706097466388295,48,2023-08-12
LOAN0166,CUST0148,Education Loan,388076,0.08303870596968368,24,2023-07-22
LOAN0167,CUST0118,Personal Loan,198554,0.17309486955069778,24,2023-09-13
LOAN0168,CUST0086,Personal Loan,335555,0.14895267510315613,24,2023-03-27
LOAN0169,CUST0063,Business Loan,494191,0.14765133857772467,24,2023-05-30
LOAN0170,CUST0189,Personal Loan,503761,0.10156751523977171,36,2023-08-23
LOAN0171,CUST0104,Personal Loan,555518,0.1458885470232657,48,2023-12-11
LOAN0172,CUST0049,Business Loan,390941,0.11938644056541585,36,2023-01-22
LOAN0173,CUST0071,Personal Loan,364451,0.14512329770414922,48,2023-12-14
LOAN0174,CUST0001,Personal Loan,970597,0.09065930303079907,24,2023-10-12
LOAN0175,CUST0141,Business Loan,334186,0.1457845304603036,12,2023-09-26
LOAN0176,CUST0179,Business Loan,627218,0.17994137257706666,36,2023-09-15
LOAN0177,CUST0123,Business Loan,822944,0.0848212038860556,12,2023-01-29
LOAN0178,CUST0184,Education Loan,487629,0.17771741842213173,36,2023-08-01
LOAN0179,CUST0062,Education Loan,818747,0.12069079607228705,24,2023-10-10
LOAN0180,CUST0032,Business Loan,274695,0.1670753450337259,36,2023-02-19
LOAN0181,CUST0158,Business Loan,934315,0.15823854840582735,24,2023-04-05
LOAN0182,CUST0029,Business Loan,345900,0.13670162609866676,36,2023-03-29
LOAN0183,CUST0049,Education Loan,103268,0.15384492092513263,24,2023-02-13
LOAN0184,CUST0173,Education Loan,482430,0.16785155613013478,24,2023-10-05
LOAN0185,CUST0030,Personal Loan,262943,0.1204140321651033,48,2023-06-20
LOAN0186,CUST0144,Personal Loan,833204,0.11270331615632387,24,2023-07-08
LOAN0187,CUST0168,Business Loan,471818,0.14675933855635848,48,2023-12-19
LOAN0188,CUST0019,Education Loan,758691,0.16078459419412586,24,2023-07-03
LOAN0189,CUST0018,Education Loan,623189,0.1562285134776616,12,2023-01-03
LOAN0190,CUST0001,Education Loan,412130,0.15978136488586345,24,2023-07-10
LOAN0191,CUST0078,Business Loan,244488,0.1235583314812933,12,2023-04-28
LOAN0192,CUST0115,Personal Loan,737556,0.16178342161750214,12,2023-01-19
LOAN0193,CUST0175,Business Loan,440530,0.09202090553706084,24,2023-01-23
LOAN0194,CUST0194,Personal Loan,842058,0.13444890979608495,12,2023-01-30
LOAN0195,CUST0113,Personal Loan,712784,0.08057586604981216,48,2023-10-22
LOAN0196,CUST0114,Business Loan,849289,0.11245858299002703,36,2023-04-18
LOAN0197,CUST0166,Personal Loan,291531,0.11664615348713979,24,2023-10-08
LOAN0198,CUST0179,Personal Loan,296693,0.11961726916092554,12,2023-05-08
LOAN0199,CUST0063,Education Loan,987486,0.14954672066898622,24,2023-08-17
LOAN0200,CUST0132,Personal Loan,969484,0.11885581012703457,48,2023-04-21
LOAN0201,CUST0129,Business Loan,753650,0.12486936226225306,24,2023-05-16
LOAN0202,CUST0008,Business Loan,600719,0.10375441308743275,24,2023-12-28
LOAN0203,CUST0157,Personal Loan,921408,0.117325179162934,12,2023-07-05
LOAN0204,CUST0055,Education Loan,288360,0.10272696272631515,48,2023-05-24
LOAN0205,CUST0103,Education Loan,394855,0.08731959237684436,36,2023-03-13
LOAN0206,CUST0131,Personal Loan,557403,0.14034485933813778,36,2023-05-09
LOAN0207,CUST0032,Personal Loan,76385,0.14682127985550164,12,2023-12-30
LOAN0208,CUST0010,Business Loan,481374,0.14194903460096145,24,2023-09-18
LOAN0209,CUST0110,Personal Loan,466235,0.12634940438005723,12,2023-01-03
LOAN0210,CUST0162,Education Loan,330783,0.11797857801792298,12,2023-04-14
LOAN0211,CUST0124,Personal Loan,135530,0.1663333649571825,12,2023-08-12
LOAN0212,CUST0087,Business Loan,805271,0.1319081785136218,24,2023-11-16
LOAN0213,CUST0055,Business Loan,333707,0.1279181877629731,48,2023-12-28
LOAN0214,CUST0032,Business Loan,427816,0.08256420658064358,12,2023-12-20
LOAN0215,CUST0178,Business Loan,973280,0.11412478276261563,24,2023-01-10
LOAN0216,CUST0135,Business Loan,479660,0.1180195618785857,48,2023-10-29
LOAN0217,CUST0093,Personal Loan,451927,0.11988227808969004,12,2023-08-19
LOAN0218,CUST0008,Personal Loan,779678,0.1380172369227332,36,2023-08-07
LOAN0219,CUST0065,Personal Loan,395114,0.13336025467268783,48,2023-03-07
LOAN0220,CUST0057,Personal Loan,293373,0.14079050927934444,12,2023-04-22
LOAN0221,CUST0067,Business Loan,397697,0.15648832615421282,48,2023-01-13
LOAN0222,CUST0187,Education Loan,211779,0.16129857387160934,48,2023-03-27
LOAN0223,CUST0072,Personal Loan,220182,0.15181230762264944,48,2023-08-22
LOAN0224,CUST0054,Education Loan,767148,0.17555236959549347,48,2023-03-31
LOAN0225,CUST0067,Personal Loan,657167,0.08182325826763616,48,2023-11-10
LOAN0226,CUST0051,Personal Loan,288260,0.09957779856835461,48,2023-02-23
LOAN0227,CUST0097,Education Loan,973159,0.08075628749781422,12,2023-01-12
LOAN0228,CUST0092,Business Loan,881291,0.1447474714154603,36,2023-07-28
LOAN0229,CUST0008,Personal Loan,888530,0.1698030548949987,24,2023-01-14
LOAN0230,CUST0162,Personal Loan,720611,0.10434822965762992,48,2023-05-01
LOAN0231,CUST0035,Personal Loan,696701,0.17270345447963065,24,2023-01-20
LOAN0232,CUST0096,Education Loan,836958,0.08602673902895609,12,2023-03-16
LOAN0233,CUST0088,Business Loan,380904,0.17344360268055142,48,2023-08-31
LOAN0234,CUST0078,Education Loan,97837,0.11516226872396344,36,2023-08-11
LOAN0235,CUST0032,Education Loan,568349,0.09014208284492164,24,2023-03-11
LOAN0236,CUST0120,Business Loan,834838,0.12858717591863256,48,2023-11-08
LOAN0237,CUST0046,Education Loan,847968,0.1056776567720508,12,2023-07-30
LOAN0238,CUST0144,Business Loan,602829,0.10848729019619228,36,2023-04-11
LOAN0239,CUST0196,Personal Loan,129083,0.11072899649262866,24,2023-07-05
LOAN0240,CUST0165,Business Loan,608819,0.16030258978326634,24,2023-05-12
LOAN0241,CUST0182,Personal Loan,320856,0.13391612766752545,48,2023-04-21
LOAN0242,CUST0142,Education Loan,416245,0.11113076991560036,36,2023-05-12
LOAN0243,CUST0055,Education Loan,901887,0.14103337833109184,36,2023-01-20
LOAN0244,CUST0176,Personal Loan,649032,0.15161506742231934,36,2023-01-24
LOAN0245,CUST0007,Education Loan,827147,0.10726240007335337,36,2023-08-15
LOAN0246,CUST0074,Business Loan,704037,0.12135491015253515,12,2023-06-03
LOAN0247,CUST0007,Personal Loan,841541,0.09218860933369476,36,2023-10-20
LOAN0248,CUST0161,Education Loan,885700,0.09811493495346803,24,2023-08-18
LOAN0249,CUST0151,Personal Loan,806097,0.14811178539649827,24,2023-11-06
LOAN0250,CUST0085,Business Loan,891047,0.09814383476956269,12,2023-12-25
LOAN0251,CUST0147,Business Loan,656791,0.132516338366706,24,2023-07-21
LOAN0252,CUST0112,Education Loan,304346,0.15090462617224326,24,2023-02-07
LOAN0253,CUST0125,Business Loan,997263,0.09068769230947438,36,2023-09-17
LOAN0254,CUST0147,Personal Loan,659996,0.13673122196289034,24,2023-07-07
LOAN0255,CUST0036,Business Loan,765472,0.10565627837013637,12,2023-02-26
LOAN0256,CUST0029,Personal Loan,676759,0.17629268752375798,36,2023-01-20
LOAN0257,CUST0188,Personal Loan,828513,0.12835456467199247,48,2023-09-30
LOAN0258,CUST0082,Business Loan,207661,0.16059925497751582,36,2023-04-29
LOAN0259,CUST0002,Education Loan,735375,0.13502265421562618,12,2023-03-12
LOAN0260,CUST0129,Business Loan,210081,0.08434125328548192,36,2023-01-04
LOAN0261,CUST0047,Personal Loan,919741,0.14331513755940223,36,2023-08-09
LOAN0262,CUST0197,Personal Loan,438590,0.1751403342206657,12,2023-01-14
LOAN0263,CUST0148,Business Loan,767406,0.14016118201463312,36,2023-01-03
LOAN0264,CUST0011,Education Loan,943093,0.161918885942679,12,2023-08-04
LOAN0265,CUST0130,Education Loan,731503,0.16842064633484077,12,2023-08-17
LOAN0266,CUST0195,Personal Loan,56154,0.10280797719489325,48,2023-12-02
LOAN0267,CUST0119,Personal Loan,727164,0.10120448399082266,24,2023-07-05
LOAN0268,CUST0140,Education Loan,114288,0.14109809888509917,24,2023-02-24
LOAN0269,CUST0020,Business Loan,101195,0.12110284698067048,36,2023-09-11
LOAN0270,CUST0005,Personal Loan,332725,0.16398613028667203,36,2023-01-24
LOAN0271,CUST0037,Personal Loan,495864,0.17000231233980112,48,2023-06-11
LOAN0272,CUST0166,Education Loan,342231,0.11534213793027182,48,2023-06-07
LOAN0273,CUST0137,Business Loan,755290,0.1036870558974482,48,2023-03-23
LOAN0274,CUST0053,Education Loan,214053,0.1580525515243862,12,2023-06-08
LOAN0275,CUST0172,Business Loan,643586,0.1074806035548136,48,2023-07-07
LOAN0276,CUST0099,Business Loan,882599,0.16226143185136782,48,2023-03-01
LOAN0277,CUST0086,Business Loan,780664,0.12237382536487629,36,2023-11-01
LOAN0278,CUST0108,Personal Loan,486624,0.14675498992914704,48,2023-11-15
LOAN0279,CUST0024,Education Loan,89499,0.08955353138346682,12,2023-07-30
LOAN0280,CUST0081,Education Loan,437960,0.1423859324676573,12,2023-06-01
LOAN0281,CUST0158,Business Loan,495485,0.1251767678737229,36,2023-04-19
LOAN0282,CUST0120,Personal Loan,743919,0.1386608463175474,48,2023-03-17
LOAN0283,CUST0059,Personal Loan,295198,0.09680142077448634,48,2023-01-30
LOAN0284,CUST0128,Education Loan,517535,0.15368737449441822,12,2023-11-10
LOAN0285,CUST0114,Personal Loan,817285,0.16627970775432285,48,2023-04-27
LOAN0286,CUST0115,Personal Loan,670635,0.10167398000907757,48,2023-12-22
LOAN0287,CUST0014,Business Loan,360931,0.08957145555201618,48,2023-07-11
LOAN0288,CUST0009,Personal Loan,347632,0.08236385860463365,24,2023-01-19
LOAN0289,CUST0040,Business Loan,386585,0.1441971500443266,36,2023-06-22
LOAN0290,CUST0194,Education Loan,780023,0.14070940360887807,24,2023-08-16
LOAN0291,CUST0025,Personal Loan,72431,0.134669741271407,36,2023-12-16
LOAN0292,CUST0103,Education Loan,373825,0.10319470961159755,12,2023-07-02
LOAN0293,CUST0022,Education Loan,244555,0.11909059959055146,48,2023-04-23
LOAN0294,CUST0004,Personal Loan,697008,0.1394476335186173,36,2023-07-02
LOAN0295,CUST0154,Personal Loan,623441,0.12967668588591694,24,2023-05-26
LOAN0296,CUST0186,Education Loan,318512,0.17877855202148873,48,2023-11-15
LOAN0297,CUST0029,Personal Loan,994928,0.0936439752556733,12,2023-04-26
LOAN0298,CUST0109,Business Loan,948792,0.14951445540475938,36,2023-04-23
LOAN0299,CUST0098,Business Loan,226076,0.12043187681042922,36,2023-09-08
LOAN0300,CUST0037,Personal Loan,269724,0.12281996149256147,36,2023-09-08
