Customer_ID,Age,Gender,City,Employment_Type,Annual_Income,Credit_Score
CUST0091,48,Male,Delhi,Salaried,665340,593
CUST0092,27,Female,Pune,Self-Employed,733027,682
CUST0093,29,Male,Hyderabad,Salaried,1856617,619
CUST0094,28,Female,Delhi,Salaried,1666199,703
CUST0095,32,Male,Hyderabad,Self-Employed,1565040,667
CUST0096,54,Female,Delhi,Salaried,1859312,617
CUST0097,53,Female,Delhi,Self-Employed,1665843,568
CUST0098,43,Female,Bangalore,Salaried,950199,761
CUST0099,44,Female,Delhi,Self-Employed,523777,774
CUST0100,57,Female,Mumbai,Self-Employed,1159909,569
CUST0101,55,Male,Pune,Self-Employed,1354145,662
CUST0102,42,Male,Pune,Salaried,894124,689
CUST0103,47,Male,Hyderabad,Self-Employed,928861,596
CUST0104,55,Female,Delhi,Salaried,729802,550
CUST0105,21,Male,Mumbai,Salaried,558090,639
CUST0106,55,Female,Hyderabad,Salaried,1393578,691
CUST0107,57,Female,Bangalore,Salaried,1071954,613
CUST0108,34,Male,Hyderabad,Self-Employed,961614,587
CUST0109,23,Male,Hyderabad,Self-Employed,979574,586
CUST0110,21,Female,Delhi,Salaried,798870,675
CUST0111,25,Male,Bangalore,Salaried,1560367,688
CUST0112,46,Female,Hyderabad,Self-Employed,502846,649
CUST0113,34,Female,Mumbai,Salaried,966997,626
CUST0114,59,Female,Mumbai,Self-Employed,1372647,784
CUST0115,47,Female,Pune,Salaried,1931107,552
CUST0116,29,Female,Bangalore,Salaried,1328455,710
CUST0117,35,Male,Bangalore,Self-Employed,1212259,683
CUST0118,35,Male,Pune,Salaried,472312,727
CUST0119,46,Female,Hyderabad,Self-Employed,1605794,797
CUST0120,33,Female,Bangalore,Salaried,1563455,559
CUST0121,52,Male,Mumbai,Salaried,1712290,554
CUST0122,59,Male,Mumbai,Salaried,726650,700
CUST0123,52,Female,Delhi,Self-Employed,631868,687
CUST0124,24,Male,Bangalore,Salaried,1901596,721
CUST0125,50,Female,Hyderabad,Salaried,1994329,679
CUST0126,57,Male,Pune,Salaried,1228818,562
CUST0127,43,Female,Pune,Salaried,1765746,717
CUST0128,59,Male,Hyderabad,Self-Employed,357108,679
CUST0129,35,Female,Delhi,Self-Employed,1829297,633
CUST0130,49,Male,Pune,Salaried,1459771,614
CUST0131,56,Male,Bangalore,Self-Employed,1385244,612
CUST0132,33,Female,Delhi,Salaried,585205,650
CUST0133,52,Male,Bangalore,Salaried,1689972,622
CUST0134,27,Female,Mumbai,Salaried,1912613,566
CUST0135,42,Male,Delhi,Self-Employed,430560,558
CUST0136,48,Female,Pune,Self-Employed,1347172,752
CUST0137,22,Male,Delhi,Self-Employed,1715400,692
CUST0138,26,Female,Delhi,Self-Employed,447979,701
CUST0139,48,Male,Delhi,Self-Employed,1498425,587
CUST0140,48,Female,Delhi,Self-Employed,1048589,796
CUST0141,40,Male,Bangalore,Self-Employed,351745,712
CUST0142,50,Female,Mumbai,Self-Employed,1719184,643
CUST0143,31,Female,Hyderabad,Self-Employed,391865,644
CUST0144,48,Female,Delhi,Salaried,1561466,598
CUST0145,45,Male,Pune,Self-Employed,1372200,618
CUST0146,59,Female,Delhi,Self-Employed,323321,611
CUST0147,53,Male,Pune,Self-Employed,703704,737
CUST0148,21,Female,Bangalore,Self-Employed,1109006,785
CUST0149,47,Male,Pune,Self-Employed,1522869,727
CUST0150,33,Female,Hyderabad,Self-Employed,1227982,627
CUST0151,23,Male,Mumbai,Self-Employed,486717,666
CUST0152,59,Male,Pune,Self-Employed,1328202,669
CUST0153,26,Female,Pune,Self-Employed,1729551,752
CUST0154,28,Male,Mumbai,Self-Employed,483868,686
CUST0155,47,Male,Hyderabad,Self-Employed,959792,711
CUST0156,29,Female,Delhi,Salaried,395257,625
CUST0157,57,Male,Pune,Salaried,888579,776
CUST0158,53,Male,Mumbai,Self-Employed,510176,584
CUST0159,44,Male,Bangalore,Self-Employed,490471,550
CUST0160,35,Female,Mumbai,Salaried,1214032,589
CUST0161,52,Male,Bangalore,Self-Employed,772930,613
CUST0162,52,Female,Hyderabad,Salaried,1867438,699
CUST0163,44,Male,Delhi,Salaried,1824350,609
CUST0164,32,Male,Mumbai,Salaried,1217559,613
CUST0165,59,Male,Pune,Salaried,935605,642
CUST0166,22,Female,Hyderabad,Salaried,1488365,621
CUST0167,23,Male,Mumbai,Self-Employed,689593,560
CUST0168,57,Male,Pune,Salaried,1115131,654
CUST0169,37,Female,Mumbai,Self-Employed,1422262,778
CUST0170,22,Male,Bangalore,Self-Employed,367661,563
CUST0171,22,Female,Mumbai,Salaried,868535,609
CUST0172,48,Female,Mumbai,Salaried,1593697,579
CUST0173,43,Male,Mumbai,Self-Employed,1715833,584
CUST0174,57,Female,Hyderabad,Salaried,566765,762
CUST0175,52,Male,Mumbai,Salaried,1494682,714
CUST0176,53,Female,Pune,Self-Employed,1607506,554
CUST0177,21,Female,Bangalore,Self-Employed,960482,632
CUST0178,39,Male,Bangalore,Salaried,1104462,672
CUST0179,22,Female,Mumbai,Self-Employed,1169270,627
CUST0180,46,Female,Hyderabad,Salaried,748874,703
CUST0181,52,Female,Hyderabad,Salaried,1911502,611
CUST0182,26,Female,Pune,Salaried,1153499,681
CUST0183,52,Female,Mumbai,Self-Employed,1323980,638
CUST0184,24,Male,Bangalore,Self-Employed,418033,786
CUST0185,31,Female,Hyderabad,Self-Employed,930265,591
CUST0186,37,Male,Mumbai,Self-Employed,913157,638
CUST0187,58,Female,Hyderabad,Self-Employed,1978050,695
CUST0188,44,Male,Hyderabad,Salaried,1121106,589
CUST0189,25,Male,Bangalore,Salaried,1515502,621
CUST0190,54,Female,Delhi,Salaried,1919135,588
CUST0191,26,Female,Pune,Salaried,1160120,653
CUST0192,42,Female,Pune,Self-Employed,731734,563
CUST0193,31,Male,Bangalore,Salaried,1721796,581
CUST0194,36,Female,Hyderabad,Self-Employed,965627,728
CUST0195,53,Male,Mumbai,Salaried,521897,674
CUST0196,29,Male,Hyderabad,Self-Employed,301062,715
CUST0197,26,Male,Bangalore,Self-Employed,1596312,646
CUST0198,36,Female,Pune,Salaried,1923312,572
CUST0199,49,Female,Hyderabad,Salaried,395462,612
CUST0200,23,Male,Pune,Salaried,1748021,692
